Date,Open,High,Low,Close,Volume
2024-06-03,200.2412,201.6987,197.9591,199.8868,0.0
2024-06-04,199.8969,200.5671,196.9239,197.6854,0.0
2024-06-05,197.675,200.2273,197.4104,199.477,0.0
2024-06-06,199.5027,200.392,198.2564,199.0115,0.0
2024-06-07,199.0034,201.3353,197.199,199.3854,0.0
2024-06-08,199.4042,199.4042,199.4042,199.4042,0.0
2024-06-09,199.3699,199.6679,198.9322,199.4059,0.0
2024-06-10,199.3132,200.2214,198.8134,199.8164,0.0
2024-06-11,199.8259,200.7143,199.2263,200.1447,0.0
2024-06-12,200.137,202.397,198.2562,200.4114,0.0
2024-06-13,200.4087,201.4776,199.4299,200.3132,0.0
2024-06-14,200.3113,201.9929,198.4492,199.517,0.0
2024-06-15,199.517,199.517,199.517,199.517,0.0
2024-06-16,199.5462,199.7169,199.2284,199.4946,0.0
2024-06-17,199.4917,200.7577,198.9299,200.3366,0.0
2024-06-18,200.3231,201.2799,199.5472,200.5794,0.0
2024-06-19,200.5747,201.4589,200.1393,200.9528,0.0
2024-06-20,200.9544,202.2248,199.8032,201.1328,0.0
2024-06-21,201.1391,202.5813,200.2625,202.0254,0.0
2024-06-22,202.0254,202.0254,202.0254,202.0254,0.0
2024-06-23,201.9394,202.1063,201.5697,201.8478,0.0
2024-06-24,201.8482,203.0842,200.5251,202.4285,0.0
2024-06-25,202.4283,202.9313,201.6887,202.5254,0.0
2024-06-26,202.5292,204.1892,201.3177,202.9092,0.0
2024-06-27,202.9108,203.7762,202.1465,203.1697,0.0
2024-06-28,203.1686,204.2362,202.2328,203.3437,0.0
2024-06-29,203.3437,203.3437,203.3437,203.3437,0.0
2024-06-30,203.3437,203.6439,202.9593,203.3296,0.0
2024-07-01,203.3616,205.5628,203.0483,204.1692,0.0
2024-07-02,204.1705,205.2179,203.4345,204.6896,0.0
2024-07-03,204.6834,206.9293,203.8185,205.8371,0.0
2024-07-04,205.8205,206.416,205.0482,205.708,0.0
